Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",15.000000,0.000000,270.000000,bottom
"J2","Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",-15.000000,0.000000,270.000000,bottom
